Date,Close,High,Low,Open,Volume,RSI,MACD,MACD_Signal,OBV,EMA_200,SMA_20,SMA_50,BB_High,BB_Low
2026-01-27,3098.762939453125,3115.4440572399217,3071.2881572160486,3115.4440572399217,4279874,49.75925349338364,-2.914756261828188,1.8997044833734718,76540849,3145.237037067017,3106.56708984375,3092.858974609375,3168.858104194419,3044.2760754930814
2026-01-28,3140.073486328125,3145.0776781720924,3111.1268393421374,3116.425451779539,2751234,54.62640648583729,0.6422486204469351,1.6482133107881645,79292083,3145.1856584526995,3107.120007324219,3095.8672314453124,3170.386905124313,3043.8531095241246
2026-01-29,3085.41796875,3140.07335254898,3066.9708064954257,3140.07335254898,2457641,48.00080667782791,-0.9382275734092218,1.1309251339486874,76834442,3144.5909550725733,3106.8965087890624,3098.07341796875,3170.4363184669273,3043.3566991111975
2026-01-30,3065.302734375,3082.082073579965,3034.001200735196,3082.082073579965,3022068,45.79912021017718,-3.7704344267335728,0.1506532218122354,73812374,3143.8020175531947,3104.645703125,3098.709267578125,3170.681366540211,3038.6100397097894
2026-02-02,3110.1455078125,3138.0126916764966,3075.2131881532646,3138.0126916764966,2636272,51.17557642166169,-2.3692306965549506,-0.3533235618612018,76448646,3143.4671269090086,3103.514306640625,3100.2978662109376,3168.3479729936366,3038.680640287613
2026-02-03,3164.80078125,3287.1616459496977,3126.532332237451,3287.1616459496977,4366060,56.800226812618696,3.1155431063948527,0.3404497717900092,80814706,3143.6794020765806,3106.7828979492188,3102.8677783203125,3176.8438564834437,3036.721939414994
2026-02-04,2942.84375,3061.475843095512,2929.9893806035893,3061.475843095512,10852595,37.77049684474829,-10.32874820874622,-1.7933898243172364,69962111,3141.6810373793014,3097.0406494140625,3101.1797314453124,3195.5955435324954,2998.4857552956296
2026-02-05,2935.38623046875,2972.869637012123,2916.5464269268496,2933.9143670738968,3521545,37.31810752538409,-21.339220190807737,-5.702555897615337,66440566,3139.628352733426,3085.00771484375,3099.7665673828124,3199.515340426917,2970.5000892605826
2026-02-06,2886.422119140625,2929.0079343210614,2861.302223276454,2920.765595757455,4687389,34.40442573952045,-33.62844535175145,-11.28773378844256,61753177,3137.1088877225525,3074.9452392578123,3096.5318359375,3218.4471944064094,2931.4432841092153
2026-02-09,2892.8984375,2921.15826303242,2882.3991930324937,2903.5941220720847,2380318,35.12591315664068,-42.356896131780104,-17.50156625711007,64133495,3134.67893299397,3065.01865234375,3093.933544921875,3228.641754624674,2901.3955500628263
2026-02-10,2928.61572265625,2955.109263473934,2888.2865702537815,2894.468444356794,3547763,39.10403151033863,-45.86348415344901,-23.173949836377858,67681258,3132.6285527916048,3055.3456176757813,3092.032255859375,3227.0089025322186,2883.682332819344
2026-02-11,2855.21875,2941.76426862986,2849.723697569715,2924.1019081110685,3363513,34.431551764575815,-53.94317932074273,-29.327795733250834,64317745,3129.8682562464146,3040.634240722656,3088.74205078125,3227.293690744166,2853.9747907011465
