Price,Close,High,Low,Open,Volume,Daily_Return
Ticker,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,
Date,,,,,,
2015-08-21,195.83273315429688,196.6847000851681,193.47095924605512,196.2748926602718,20050521,-0.009112561564241117
2015-08-24,178.9228515625,189.80424929383173,176.43166985465518,189.80424929383173,35635706,-0.08634859616892321
2015-08-25,182.93466186523438,185.63075500004678,177.5532884183989,181.36015073104545,49504268,0.02242201187662718
2015-08-26,184.06703186035156,188.68272509251156,181.17682617742796,182.85917761777594,18955515,0.0061900242609647105
2015-08-27,187.46405029296875,190.07385636166384,184.85424422427366,186.9571867143987,26997546,0.018455333354831627
2015-08-28,188.16505432128906,190.4513254037068,186.80622386417951,188.7258380659934,10770215,0.0037394051138059936
2015-08-31,184.60623168945312,188.262117387575,184.15328818730984,188.262117387575,20708942,-0.01891330271007341
2015-09-01,181.1444549560547,184.17485267267404,180.1199436824047,184.17485267267404,21645696,-0.018752220343362436
2015-09-02,183.23660278320312,184.86503381918314,181.73758005257042,183.3336590122136,19652369,0.011549610103472219
2015-09-03,184.16404724121094,185.65228586133605,182.12580895689797,184.20718334052788,11659978,0.0050614584854813405
2015-09-04,180.29249572753906,183.26897343967389,177.96307400563813,183.26897343967389,16199949,-0.021022298172026277
2015-09-07,179.7101287841797,182.03955031019262,178.52385716885811,180.79934416881278,10234633,-0.0032301230342912657
2015-09-08,183.03172302246094,183.96996219155176,177.96308622223478,180.31407615860147,12900468,0.018483066373349955
2015-09-09,188.5209197998047,189.52386296507026,183.44149982060765,185.7062171605128,17340694,0.029990411971754893
2015-09-10,187.00035095214844,187.7552616199805,184.51995281168513,185.7062389471499,11074406,-0.008065783093308632
2015-09-11,185.69541931152344,188.96306517554672,184.670908171568,188.07874635637134,10634833,-0.006978230971122157
2015-09-14,186.32095336914062,186.71997677902945,183.7434988427404,185.86800982249662,7964072,0.0033686025209258563
2015-09-15,187.00035095214844,187.6474213525472,184.5415208651718,185.92191948201648,11509788,0.003646383140074372
2015-09-16,188.19740295410156,189.23269821735857,186.6121079821079,188.10034672277712,13424811,0.0064013355903242974
2015-09-18,193.1258544921875,194.01015903348315,189.18956976826752,189.46995444788118,34261453,0.026187670290476417
2015-09-21,189.39447021484375,191.57290113194648,188.95231073602508,189.80427761457076,12732187,-0.01932099814991206
2015-09-22,182.8807373046875,190.86114745030764,182.14740908923733,189.80428403509734,15745524,-0.034392413372825836
2015-09-23,183.40916442871094,184.80034703564294,181.17681336006353,181.82386934551363,15221260,0.002889463000923076
2015-09-24,180.60520935058594,182.9022641174557,180.0444256892399,182.9022641174557,29076982,-0.015287976949564408
2015-09-28,179.9365997314453,181.3709183852897,178.7395440478549,181.13366981293427,11624639,-0.00370205057509021
2015-09-29,181.3385772705078,183.3875999290503,178.17877106934904,179.01995394526207,15853471,0.007791508459951801
2015-09-30,185.9866180419922,186.52583376082114,180.85327748774904,183.54937047979286,17292020,0.02563183654270529
2015-10-01,186.5042724609375,188.49937501221308,185.18859239443228,188.49937501221308,8663393,0.002783288520405547
2015-10-05,191.5297393798828,191.9611147745747,185.88953596992297,186.09444684129758,16015412,0.026945586032072644
2015-10-06,193.6974334716797,194.2258651809335,191.0444765007486,193.17978578918817,12330294,0.011317793773516494
2015-10-07,197.09445190429688,198.01112280567085,192.1768070274065,192.9748392583967,11515191,0.01753775655016021
2015-10-08,191.7670135498047,197.33172911101852,191.15230969549748,197.33172911101852,10753149,-0.027029874778408458
2015-10-09,191.38955688476562,195.29348928942224,190.12779710854883,192.8346594919329,9327873,-0.001968308616022929
2015-10-12,192.3385772705078,194.46308785112484,191.529746575337,191.529746575337,6212395,0.004958579774096972
2015-10-13,192.7376251220703,193.31997696159476,190.4297714194666,190.89349896532667,6162561,0.002074715625047352
2015-10-14,194.7542724609375,195.19643190062985,192.8130902956141,193.21211363366797,8002587,0.01046317416015663
2015-10-15,194.91603088378906,196.49054177146857,194.13956666419938,195.77878170368658,9048478,0.0008305770179393157
2015-10-16,197.31015014648438,197.31015014648438,194.91602461708547,195.0885690163585,15246935,0.012282823797713727
2015-10-19,207.81410217285156,208.24546319047266,202.96114674563634,202.96114674563634,33505855,0.05323574088088723
2015-10-20,206.34742736816406,208.50429000447116,205.54938070582372,208.13761874897176,18091895,-0.007057628858447629
2015-10-21,205.98077392578125,210.25136346681964,205.5493984816352,206.08861418734307,14404450,-0.0017768743088258931
2015-10-23,206.12098693847656,209.8739436004166,202.99353265212667,207.91119305154456,12153422,0.0006807092235989742
2015-10-26,203.3601837158203,207.70626144284748,203.02586450685718,207.46901286725338,10938775,-0.013394090837922756
2015-10-27,202.6483917236328,204.52486970588922,202.18466424068558,202.4866313451271,11601798,-0.0035001541559490645
2015-10-28,202.08761596679688,203.80233363803075,200.5670251553073,202.07683194113875,11958727,-0.0027672351705643194
2015-10-29,202.96115112304688,203.8239019726922,201.65624082290574,201.88271975993925,13280382,0.004322556590471649
2015-10-30,204.40626525878906,206.17488876239378,202.76705007054346,203.19841112174055,13366359,0.007120151456305512
2015-11-02,207.01605224609375,207.38272350321589,203.86703047948544,204.68663079800268,7222044,0.0127676467450768
2015-11-03,208.6121368408203,209.3131272982727,207.32880900291485,207.76018442337065,11373522,0.007709955713140593
2015-11-04,205.18272399902344,210.2945106943322,204.0827245524261,208.78470386228324,10033187,-0.01643918179321302
2015-11-05,202.01214599609375,205.11803205297895,201.23568168082213,204.68665658987277,10767454,-0.015452460817046099
2015-11-06,205.41998291015625,205.9268465194878,202.29252904796547,202.62683384699596,8367190,0.016869465433669406
2015-11-09,207.32879638671875,208.13761265269522,199.17582879222806,201.34348978816624,17031699,0.00929224824927255
2015-11-10,199.02488708496094,206.95137713814407,197.6337044360297,206.4121614010071,11486238,-0.04005188592456299
2015-11-13,201.24647521972656,202.43274700091527,197.2454859676246,197.36411026616346,13682323,0.011162363497873917
2015-11-16,201.5160675048828,203.17685080895376,199.45626081535536,199.7258758805231,15346549,0.001339612457122108
2015-11-17,200.10330200195312,202.5082117654588,199.76899719928755,202.32488332528735,8588142,-0.007010684162420233
2015-11-18,196.70623779296875,200.86898676609366,196.2640783552066,200.07094009346977,11249222,-0.01697655248563168
2015-11-19,201.61312866210938,202.4650955872541,197.83861844300327,198.19450573037636,12183206,0.0249452733385358
2015-11-20,204.22291564941406,205.5062579279124,199.62879102525173,201.45134899778424,11304265,0.012944528982924197
2015-11-23,205.71115112304688,206.6062540560812,204.0827200411242,204.90233479390955,10499517,0.007287308913891177
2015-11-24,208.71995544433594,209.56113814685727,205.12877451879712,205.54936587005778,14806176,0.014626354987870016
2015-11-26,213.23863220214844,213.9504067479622,208.83863420067823,209.43177005692354,23805828,0.0216494716482325
